x,y,t,id
-73.8970902,42.8376464,2010-03-06T23:26:07Z,1016
-73.8973295,42.8378865,2010-03-06T23:30:19Z,1016
-73.8972529,42.8378035,2010-03-06T23:40:46Z,1016
-73.8977882,42.8378463,2010-03-06T23:51:07Z,1016
-73.897354000000007,42.8378759,2010-03-07T00:00:54Z,1016
-73.8972683,42.8378048,2010-03-07T01:00:57Z,1016
-73.8973072,42.837813,2010-03-07T02:00:26Z,1016
-73.8974342,42.8375553,2010-03-07T03:59:38Z,1016
-73.8974459,42.8375586,2010-03-07T04:00:40Z,1016
-73.8971669,42.8375712,2010-03-07T04:02:39Z,1016
-73.897431,42.8375426,2010-03-07T04:04:06Z,1016
-73.8975898,42.8374502,2010-03-07T04:06:13Z,1016
-73.8975746,42.8369747,2010-03-07T04:08:15Z,1016
-73.8980508,42.8364215,2010-03-07T04:10:10Z,1016
-73.8975659,42.835956,2010-03-07T04:14:18Z,1016
-73.896976,42.8355818,2010-03-07T04:16:10Z,1016
-73.8970241,42.8356026,2010-03-07T04:18:08Z,1016
-73.8971191,42.8354124,2010-03-07T04:20:13Z,1016
-73.8971649,42.8353146,2010-03-07T04:22:12Z,1016
-73.896806,42.8353087,2010-03-07T04:24:09Z,1016
-73.8967878,42.8346244,2010-03-07T04:26:07Z,1016
-73.8973414,42.8344012,2010-03-07T04:28:11Z,1016
-73.8976347,42.8344034,2010-03-07T04:30:08Z,1016
-73.8976747,42.8343251,2010-03-07T04:32:22Z,1016
-73.8974757,42.8346065,2010-03-07T04:34:07Z,1016
-73.8976523,42.834236,2010-03-07T04:36:08Z,1016
-73.8978219,42.8340868,2010-03-07T04:38:11Z,1016
-73.8978756,42.8340686,2010-03-07T04:40:12Z,1016
-73.8979289,42.834116,2010-03-07T04:42:17Z,1016
-73.8976327,42.8338798,2010-03-07T04:44:10Z,1016
-73.8982601,42.8336248,2010-03-07T04:46:11Z,1016
-73.8980144,42.8334619,2010-03-07T04:48:08Z,1016
-73.8979657,42.8334432,2010-03-07T04:50:06Z,1016
-73.8973351,42.8334915,2010-03-07T04:52:07Z,1016
-73.897638,42.8335792,2010-03-07T04:54:07Z,1016
-73.8975467,42.8343691,2010-03-07T04:56:09Z,1016
-73.8966266,42.8352717,2010-03-07T04:58:07Z,1016
-73.8958709,42.8356271,2010-03-07T05:00:08Z,1016
-73.8955957,42.8355482,2010-03-07T05:02:14Z,1016
-73.8955309,42.8355959,2010-03-07T05:04:13Z,1016
-73.8950647,42.8350642,2010-03-07T05:06:13Z,1016
-73.8954136,42.8353887,2010-03-07T05:08:12Z,1016
-73.8956575,42.83561,2010-03-07T05:10:30Z,1016
-73.8956661,42.835618,2010-03-07T05:12:06Z,1016
-73.8955384,42.8355305,2010-03-07T05:14:19Z,1016
-73.8958925,42.8358492,2010-03-07T05:20:22Z,1016
-73.8951762,42.8353648,2010-03-07T05:56:32Z,1016
-73.895011,42.8355716,2010-03-07T05:58:06Z,1016
-73.8951063,42.8358546,2010-03-07T06:00:06Z,1016
-73.8953696,42.8369257,2010-03-07T06:02:12Z,1016
-73.8950664,42.8371278,2010-03-07T06:04:17Z,1016
-73.8945006,42.8380588,2010-03-07T06:06:11Z,1016
-73.8952811,42.8384052,2010-03-07T06:08:11Z,1016
-73.8954364,42.8389181,2010-03-07T06:10:19Z,1016
-73.8953938,42.8397488,2010-03-07T06:12:49Z,1016
-73.8952613,42.8414668,2010-03-07T06:15:27Z,1016
-73.8952567,42.8420079,2010-03-07T06:16:09Z,1016
-73.8938181,42.8417866,2010-03-07T06:18:14Z,1016
-73.8917101,42.8412656,2010-03-07T06:22:45Z,1016
-73.8928062,42.8421534,2010-03-07T06:25:04Z,1016
-73.8928152,42.8421375,2010-03-07T06:26:09Z,1016
-73.8930653,42.8422011,2010-03-07T06:28:07Z,1016
-73.8928902,42.8421759,2010-03-07T06:30:16Z,1016
-73.893033,42.8422224,2010-03-07T06:32:17Z,1016
-73.8928574,42.8421391,2010-03-07T06:34:16Z,1016
-73.8930069,42.8421843,2010-03-07T06:36:07Z,1016
-73.8925045,42.8420789,2010-03-07T06:38:07Z,1016
-73.8927727,42.842115,2010-03-07T06:40:12Z,1016
-73.8931603,42.8419386,2010-03-07T06:50:46Z,1016
-73.8943925,42.8418655,2010-03-07T06:52:29Z,1016
-73.8944424,42.8416915,2010-03-07T06:54:07Z,1016
-73.8942411,42.8416505,2010-03-07T06:56:23Z,1016
-73.8941864,42.8416267,2010-03-07T06:58:09Z,1016
-73.89345,42.8420143,2010-03-07T07:00:11Z,1016
-73.8929096,42.8421742,2010-03-07T07:02:11Z,1016
-73.8923792,42.8419,2010-03-07T07:04:13Z,1016
-73.8925883,42.8422988,2010-03-07T07:06:45Z,1016
-73.8928908,42.8420066,2010-03-07T07:08:06Z,1016
-73.8929092,42.8420369,2010-03-07T07:10:14Z,1016
-73.8928099,42.8420512,2010-03-07T07:12:13Z,1016
-73.8926678,42.8421858,2010-03-07T07:14:29Z,1016
-73.8927221,42.8420915,2010-03-07T07:16:07Z,1016
-73.8927192,42.8421152,2010-03-07T07:18:12Z,1016
-73.8934652,42.8421269,2010-03-07T07:20:25Z,1016
-73.8942148,42.8424131,2010-03-07T07:22:07Z,1016
-73.8940336,42.8425456,2010-03-07T07:24:23Z,1016
-73.8938431,42.8426309,2010-03-07T07:26:11Z,1016
-73.8946064,42.8423774,2010-03-07T07:28:07Z,1016
-73.8940314,42.8426165,2010-03-07T07:30:11Z,1016
-73.8940693,42.8425734,2010-03-07T07:32:08Z,1016
-73.8947327,42.8424038,2010-03-07T07:34:08Z,1016
-73.8941494,42.842515,2010-03-07T07:40:52Z,1016
-73.8941071,42.8425539,2010-03-07T08:00:44Z,1016
-73.8940815,42.8424928,2010-03-07T08:45:43Z,1016
-73.8942576,42.842529,2010-03-07T08:46:11Z,1016
-73.8941787,42.8426047,2010-03-07T08:57:10Z,1016
-73.8954515,42.8423445,2010-03-07T09:08:58Z,1016
-73.8959483,42.8431008,2010-03-07T09:10:23Z,1016
-73.9010113,42.8417625,2010-03-07T09:25:10Z,1016
-73.9014735,42.8418675,2010-03-07T09:26:07Z,1016
-73.9018938,42.8422031,2010-03-07T09:28:07Z,1016
-73.9022958,42.8423919,2010-03-07T09:30:07Z,1016
-73.9028711,42.8428129,2010-03-07T09:32:09Z,1016
-73.9035741,42.8431217,2010-03-07T09:34:11Z,1016
-73.9034893,42.8432048,2010-03-07T09:36:13Z,1016
-73.903545,42.8431076,2010-03-07T09:38:23Z,1016
-73.9034729,42.8432118,2010-03-07T09:40:29Z,1016
-73.9037036,42.8436968,2010-03-07T09:42:14Z,1016
-73.903886,42.8442139,2010-03-07T09:44:08Z,1016
-73.9045609,42.8451062,2010-03-07T09:46:06Z,1016
-73.9048003,42.8454927,2010-03-07T09:50:18Z,1016
-73.9047609,42.8470979,2010-03-07T09:56:48Z,1016
-73.9049996,42.8470225,2010-03-07T09:58:11Z,1016
-73.9043235,42.8475984,2010-03-07T10:00:11Z,1016
-73.9038567,42.8480066,2010-03-07T10:02:10Z,1016
-73.9032156,42.848188,2010-03-07T10:04:20Z,1016
-73.9027023,42.848539100000004,2010-03-07T10:06:11Z,1016
-73.9018351,42.8493697,2010-03-07T10:08:09Z,1016
-73.9013292,42.8497807,2010-03-07T10:10:12Z,1016
-73.9002828,42.8499218,2010-03-07T10:12:09Z,1016
-73.8984151,42.8498987,2010-03-07T10:14:07Z,1016
-73.8973784,42.8498029,2010-03-07T10:16:07Z,1016
-73.8956233,42.8499659,2010-03-07T10:18:07Z,1016
-73.8945293,42.84989,2010-03-07T10:20:08Z,1016
-73.8935604,42.8498698,2010-03-07T10:22:13Z,1016
-73.8940853,42.8495102,2010-03-07T10:24:13Z,1016
-73.8939735,42.8494884,2010-03-07T10:26:13Z,1016
-73.8941657,42.8494345,2010-03-07T10:28:13Z,1016
-73.8939933,42.8494734,2010-03-07T10:39:12Z,1016
-73.894093,42.8494682,2010-03-07T10:43:58Z,1016
-73.8941047,42.8493884,2010-03-07T10:45:00Z,1016
-73.8941128,42.8494448,2010-03-07T11:02:37Z,1016
-73.8943308,42.8497709,2010-03-07T11:04:50Z,1016
-73.8944758,42.8498279,2010-03-07T11:23:20Z,1016
-73.8944953,42.8497588,2010-03-07T11:24:07Z,1016
-73.8945087,42.8499475,2010-03-07T11:29:20Z,1016
-73.8945211,42.8497001,2010-03-07T11:32:46Z,1016
-73.8945008,42.8496944,2010-03-07T11:34:08Z,1016
-73.8945021,42.849639,2010-03-07T11:40:25Z,1016
-73.8944908,42.8496499,2010-03-07T11:50:13Z,1016
-73.8950492,42.8494293,2010-03-07T12:00:20Z,1016
-73.897142,42.8495106,2010-03-07T12:04:12Z,1016
-73.9001971,42.8493414,2010-03-07T12:10:06Z,1016
-73.9008454,42.8496121,2010-03-07T12:12:19Z,1016
-73.9009547,42.8495184,2010-03-07T12:14:13Z,1016
-73.9009288,42.8494384,2010-03-07T12:16:12Z,1016
-73.9013175,42.8494618,2010-03-07T12:18:17Z,1016
-73.9015502,42.8492441,2010-03-07T12:20:13Z,1016
-73.9013871,42.8492625,2010-03-08T03:38:50Z,1016
-73.9013043,42.8492485,2010-03-08T03:40:06Z,1016
-73.9013183,42.8492799,2010-03-08T03:42:52Z,1016
-73.9013656,42.8493025,2010-03-08T03:48:51Z,1016
-73.9013062,42.8492982,2010-03-08T03:50:13Z,1016
-73.90114,42.8489732,2010-03-08T03:52:06Z,1016
-73.9012208,42.8489793,2010-03-08T03:54:06Z,1016
-73.9015084,42.8490172,2010-03-08T03:56:07Z,1016
-73.9012975,42.8489904,2010-03-08T03:58:07Z,1016
-73.9015701,42.8491377,2010-03-08T04:00:08Z,1016
-73.9020299,42.8492361,2010-03-08T04:02:07Z,1016
-73.902204,42.8492596,2010-03-08T04:04:07Z,1016
-73.9021362,42.8492937,2010-03-08T04:06:09Z,1016
-73.9027085,42.8492143,2010-03-08T04:08:07Z,1016
-73.903123,42.8490359,2010-03-08T04:10:07Z,1016
-73.9043713,42.8475619,2010-03-08T04:14:19Z,1016
-73.9035037,42.8468829,2010-03-08T04:16:07Z,1016
-73.9038765,42.8473175,2010-03-08T04:18:13Z,1016
-73.9036438,42.8469568,2010-03-08T04:20:08Z,1016
-73.9034812,42.8470431,2010-03-08T04:22:09Z,1016
-73.9028292,42.846951,2010-03-08T04:24:29Z,1016
-73.9023676,42.8470198,2010-03-08T04:26:13Z,1016
-73.9017006,42.847207,2010-03-08T04:28:07Z,1016
-73.9017408,42.8471915,2010-03-08T04:30:08Z,1016
-73.9017968,42.8472875,2010-03-08T04:32:09Z,1016
-73.9019096,42.8474779,2010-03-08T04:34:19Z,1016
-73.9020046,42.8475143,2010-03-08T04:36:13Z,1016
-73.9019392,42.8474132,2010-03-08T04:38:07Z,1016
-73.9019795,42.8474236,2010-03-08T04:40:08Z,1016
-73.9015973,42.8472777,2010-03-08T04:50:40Z,1016
-73.9013241,42.8468694,2010-03-08T05:00:37Z,1016
-73.9006454,42.8470807,2010-03-08T05:10:32Z,1016
-73.901074,42.8468756,2010-03-08T05:14:07Z,1016
-73.9015472,42.8466413,2010-03-08T05:16:08Z,1016
-73.9008317,42.8462728,2010-03-08T05:18:32Z,1016
-73.9018068,42.8465871,2010-03-08T05:20:04Z,1016
-73.9019362,42.8467856,2010-03-08T05:22:06Z,1016
-73.9017977,42.8466098,2010-03-08T05:24:11Z,1016
-73.9017248,42.8468097,2010-03-08T05:26:08Z,1016
-73.9013788,42.8468149,2010-03-08T05:28:05Z,1016
-73.9005794,42.8470247,2010-03-08T05:30:06Z,1016
-73.9005372,42.8469762,2010-03-08T05:32:22Z,1016
-73.9006304,42.8472638,2010-03-08T05:34:07Z,1016
